"cluid_mukey"	"profit12"	"profit14"
"2072683403309"	"-160.12"	"-236.77"
"2072683403310"	"128.63"	"-15.31"
"2072683410366"	"167.60"	"-33.25"
"2072683410372"	"167.60"	"-33.25"
"2072683410374"	"116.93"	"-68.42"
"2072683410392"	"-148.42"	"-252.80"
"2072683410394"	"148.60"	"-46.46"
"2072683410404"	"135.93"	"-55.21"
"2072683410406"	"-129.55"	"-239.59"
"2072683410408"	"173.80"	"-24.51"
"2093922410366"	"176.08"	"-24.43"
"2093922410372"	"176.08"	"-24.43"
"2093922410395"	"-1.00"	"-142.95"
"2093922410404"	"144.41"	"-46.39"
"2093922410408"	"182.28"	"-15.69"
"2093922410410"	"30.67"	"-125.46"
"2093922410420"	"93.88"	"-81.55"
"2093923410366"	"154.32"	"-47.07"
"2093923410372"	"154.32"	"-47.07"
"2093923410408"	"160.52"	"-38.33"
"2095996410366"	"443.18"	"-75.41"
"2095996410372"	"443.18"	"-75.41"
"2095996410374"	"369.65"	"-118.47"
"2095996410404"	"390.67"	"-102.33"
"2095996410408"	"464.13"	"-64.63"
"2095996410410"	"201.75"	"-199.22"
"2095997410366"	"390.35"	"-123.01"
"2095997410372"	"390.35"	"-123.01"
"2095997410404"	"338.00"	"-149.75"
"2095997410408"	"411.24"	"-112.30"
"2095997410410"	"149.68"	"-246.02"
"2095997410420"	"254.32"	"-192.53"
"2096573410366"	"168.11"	"-32.71"
"2096573410404"	"136.44"	"-54.67"
"2096573410410"	"22.70"	"-133.74"
"2096573410420"	"85.91"	"-89.83"
"2096574410366"	"158.42"	"-42.80"
"2096574410372"	"158.42"	"-42.80"
"2096574410404"	"126.75"	"-64.76"
"2096574410408"	"164.62"	"-34.06"
"2096574410410"	"13.01"	"-143.83"
"2096574410420"	"76.22"	"-99.92"
"2096575410366"	"159.21"	"-41.98"
"2096575410372"	"159.21"	"-41.98"
"2096575410404"	"127.54"	"-63.94"
"2096575410408"	"165.41"	"-33.24"
"2096575410410"	"13.80"	"-143.01"
"2096575410420"	"77.01"	"-99.10"
"2096577410366"	"152.96"	"-48.49"
"2096577410372"	"152.96"	"-48.49"
"2096577410408"	"159.16"	"-39.75"
"2096578410366"	"153.01"	"-48.43"
"2096578410372"	"153.01"	"-48.43"
"2096578410404"	"121.34"	"-70.39"
"2096578410408"	"159.21"	"-39.69"
"2096578410420"	"70.81"	"-105.55"
"2096579410366"	"161.54"	"-39.56"
"2096579410372"	"161.54"	"-39.56"
"2096579410404"	"129.87"	"-61.52"
"2096579410408"	"167.74"	"-30.82"
"2096579410410"	"16.13"	"-140.59"
"2096580410366"	"159.52"	"-41.65"
"2096580410372"	"159.52"	"-41.65"
"2096580410404"	"127.85"	"-63.61"
"2096580410408"	"165.72"	"-32.91"
"2096580410410"	"14.11"	"-142.68"
"2096580410420"	"77.32"	"-98.77"
"2096617410366"	"151.82"	"-49.67"
"2096617410372"	"151.82"	"-49.67"
"2096617410384"	"-25.26"	"-168.19"
"2096617410404"	"120.15"	"-71.63"
"2096617410408"	"158.02"	"-40.93"
"2096618410366"	"459.36"	"-58.57"
"2096618410372"	"459.36"	"-58.57"
"2096618410404"	"406.85"	"-85.49"
"2096618410408"	"480.31"	"-47.79"
"2096618410410"	"217.93"	"-182.38"
"2096619410366"	"447.51"	"-70.90"
"2096619410370"	"384.52"	"-108.60"
"2096619410371"	"363.50"	"-113.96"
"2096619410372"	"447.51"	"-70.90"
"2096619410374"	"373.98"	"-113.96"
"2096619410404"	"395.00"	"-97.82"
"2096619410408"	"468.46"	"-60.12"
"2096739410366"	"159.04"	"-42.16"
"2096739410372"	"159.04"	"-42.16"
"2096739410394"	"140.04"	"-55.37"
"2096739410404"	"127.37"	"-64.12"
"2096739410408"	"165.24"	"-33.42"
"2096739410410"	"13.63"	"-143.19"
"2096747410366"	"441.39"	"-77.27"
"2096748410366"	"453.00"	"-65.19"
"2096748410372"	"453.00"	"-65.19"
"2096748410404"	"400.49"	"-92.11"
"2096748410408"	"473.95"	"-54.41"
"2096748410410"	"211.57"	"-189.00"
"2096753410366"	"382.46"	"-74.03"
"2096753410372"	"382.46"	"-74.03"
"2096753410404"	"330.11"	"-100.95"
"2096753410408"	"403.35"	"-63.25"
"2096753410410"	"141.79"	"-197.84"
"2096753410420"	"246.43"	"-144.00"
"2096756410366"	"438.37"	"-80.41"
"2096756410372"	"438.37"	"-80.41"
"2096756410408"	"459.32"	"-69.63"
"2096757410366"	"173.45"	"-27.16"
"2096757410372"	"173.45"	"-27.16"
"2096757410374"	"122.78"	"-62.33"
"2096757410395"	"-3.63"	"-145.68"
"2096757410404"	"141.78"	"-49.12"
"2096757410408"	"179.65"	"-18.42"
"2096757410410"	"28.04"	"-128.19"
"2096757410411"	"47.05"	"-110.61"
"2096757410417"	"91.25"	"-84.28"
"2096757410420"	"91.25"	"-84.28"
"2096761410366"	"174.98"	"-25.57"
"2096761410371"	"124.31"	"-60.74"
"2096761410372"	"174.98"	"-25.57"
"2096761410373"	"155.98"	"-38.78"
"2096761410374"	"124.31"	"-60.74"
"2096761410394"	"155.98"	"-38.78"
"2096761410404"	"143.31"	"-47.53"
"2096761410408"	"181.18"	"-16.83"
"2096761410410"	"29.57"	"-126.60"
"2096761410411"	"48.58"	"-109.02"
"2096761410412"	"29.57"	"-126.60"
"2096761410413"	"23.24"	"-130.98"
"2096764410366"	"172.47"	"-28.18"
"2096764410372"	"172.47"	"-28.18"
"2096764410374"	"121.80"	"-63.35"
"2096764410404"	"140.80"	"-50.14"
"2096764410408"	"178.67"	"-19.44"
"2096764410410"	"27.06"	"-129.21"
"2096764410417"	"90.27"	"-85.30"
"2096764410420"	"90.27"	"-85.30"
"2096776410366"	"446.60"	"-129.04"
"2096776410372"	"446.60"	"-129.04"
"2096776410374"	"373.07"	"-171.82"
"2096776410404"	"394.09"	"-155.78"
"2096776410408"	"467.55"	"-118.33"
"2096776410410"	"205.17"	"-252.05"
"2096776410417"	"310.14"	"-198.56"
"2096777410366"	"152.08"	"-49.40"
"2096777410372"	"152.08"	"-49.40"
"2096777410408"	"158.28"	"-40.66"
"2096780410366"	"394.54"	"-118.65"
"2096780410404"	"342.19"	"-145.39"
"2096780410408"	"415.43"	"-107.94"
"2096780410410"	"153.87"	"-241.66"
"2096781410366"	"443.10"	"-132.68"
"2096781410372"	"443.10"	"-132.68"
"2096781410404"	"390.59"	"-159.42"
"2096781410408"	"464.05"	"-121.97"
"2096781410410"	"201.67"	"-255.69"
"2096781410420"	"306.64"	"-202.20"
